Ticker,Date,V,P
XRAY,2001-03-15,9.20,11.12
XRAY,2001-03-16,8.71,11.01
XRAY,2001-03-19,4.88,11.12
XRAY,2001-03-20,10.39,11.14
XRAY,2001-03-21,2.78,10.63
XRAY,2001-03-22,5.82,10.36
XRAY,2001-03-23,3.42,10.71
XRAY,2001-03-26,6.55,10.61
XRAY,2001-03-27,7.63,10.67
XRAY,2001-03-28,15.66,10.46
XRAY,2001-03-29,14.13,11.07
XRAY,2001-03-30,20.73,11.14
XRAY,2001-04-02,14.00,11.11
XRAY,2001-04-03,10.61,10.99
XRAY,2001-04-04,7.20,11.16
XRAY,2001-04-05,5.43,11.47
XRAY,2001-04-06,4.14,11.19
XRAY,2001-04-09,5.26,11.36
XRAY,2001-04-10,6.56,11.45
XRAY,2001-04-11,5.34,11.16
XRAY,2001-04-12,4.03,11.26
XRAY,2001-04-16,4.67,11.34
XRAY,2001-04-17,4.15,11.43
XRAY,2001-04-18,4.42,11.29
XRAY,2001-04-19,6.97,11.34
XRAY,2001-04-20,5.50,11.30
XRAY,2001-04-23,7.28,11.60
XRAY,2001-04-24,8.05,11.71
XRAY,2001-04-25,8.73,12.03
XRAY,2001-04-26,6.55,11.93
XRAY,2001-04-27,20.15,11.98
XRAY,2001-04-30,14.14,11.96
XRAY,2001-05-01,14.60,12.16
XRAY,2001-05-02,12.37,12.21
XRAY,2001-05-03,7.65,12.40
XRAY,2001-05-04,8.46,12.74
XRAY,2001-05-07,7.50,12.83
XRAY,2001-05-08,5.87,12.84
XRAY,2001-05-09,12.36,12.83
XRAY,2001-05-10,13.05,12.78
XRAY,2001-05-11,11.17,12.52
XRAY,2001-05-14,11.80,12.45
XRAY,2001-05-15,6.91,12.50
XRAY,2001-05-16,9.12,12.69
XRAY,2001-05-17,16.53,12.76
XRAY,2001-05-18,5.48,12.74
XRAY,2001-05-21,13.12,12.94
XRAY,2001-05-22,6.26,13.04
XRAY,2001-05-23,7.78,12.66
XRAY,2001-05-24,3.46,12.84
XRAY,2001-05-25,5.17,12.95
XRAY,2001-05-29,8.12,13.06
XRAY,2001-05-30,15.46,12.80
XRAY,2001-05-31,10.18,13.45
XRAY,2001-06-01,15.70,13.58
XRAY,2001-06-04,22.42,13.76
XRAY,2001-06-05,14.60,13.97
XRAY,2001-06-06,7.49,13.71
XRAY,2001-06-07,4.65,13.82
XRAY,2001-06-08,4.60,13.87
XRAY,2001-06-11,10.71,13.90
XRAY,2001-06-12,7.96,13.64
XRAY,2001-06-13,10.76,13.91
XRAY,2001-06-14,5.24,13.88
XRAY,2001-06-15,16.35,14.07
XRAY,2001-06-18,7.77,13.88
XRAY,2001-06-19,12.72,13.82
XRAY,2001-06-20,24.05,14.10
XRAY,2001-06-21,23.14,13.90
XRAY,2001-06-22,10.22,13.85
XRAY,2001-06-25,10.27,13.61
XRAY,2001-06-26,16.04,13.50
XRAY,2001-06-27,14.88,13.58
XRAY,2001-06-28,19.12,13.71
XRAY,2001-06-29,14.71,13.56
XRAY,2001-07-02,10.44,13.95
XRAY,2001-07-03,6.08,13.67
XRAY,2001-07-05,5.07,13.81
XRAY,2001-07-06,4.32,13.59
XRAY,2001-07-09,7.28,13.40
XRAY,2001-07-10,14.88,13.23
XRAY,2001-07-11,11.57,13.07
XRAY,2001-07-12,4.69,13.30
XRAY,2001-07-13,5.18,13.36
XRAY,2001-07-16,19.81,13.16
XRAY,2001-07-17,14.47,13.45
XRAY,2001-07-18,7.49,13.38
XRAY,2001-07-19,5.62,13.60
XRAY,2001-07-20,8.37,13.68
XRAY,2001-07-23,21.09,13.68
XRAY,2001-07-24,61.89,12.97
XRAY,2001-07-25,17.36,12.94
XRAY,2001-07-26,11.94,13.12
XRAY,2001-07-27,8.94,13.44
XRAY,2001-07-30,9.45,13.49
XRAY,2001-07-31,8.77,13.55
XRAY,2001-08-01,12.31,13.29
XRAY,2001-08-02,7.53,13.24
XRAY,2001-08-03,3.46,13.24
XRAY,2001-08-06,9.27,13.12
XRAY,2001-08-07,8.28,13.15
XRAY,2001-08-08,12.88,13.05
XRAY,2001-08-09,8.92,13.02
XRAY,2001-08-10,14.98,13.12
XRAY,2001-08-13,6.27,13.42
XRAY,2001-08-14,16.36,13.45
XRAY,2001-08-15,10.08,13.42
XRAY,2001-08-16,9.76,13.35
XRAY,2001-08-17,5.63,13.30
XRAY,2001-08-20,4.06,13.44
XRAY,2001-08-21,10.68,13.61
XRAY,2001-08-22,8.91,13.73
XRAY,2001-08-23,5.79,13.74
XRAY,2001-08-24,5.25,13.75
XRAY,2001-08-27,12.30,13.78
XRAY,2001-08-28,11.78,13.86
XRAY,2001-08-29,9.02,13.78
XRAY,2001-08-30,3.94,13.78
XRAY,2001-08-31,7.69,13.64
XRAY,2001-09-04,9.36,13.76
XRAY,2001-09-05,10.06,14.07
XRAY,2001-09-06,16.20,14.21
XRAY,2001-09-07,13.96,14.37
XRAY,2001-09-10,29.40,14.42
XRAY,2001-09-17,13.47,14.17
XRAY,2001-09-18,10.94,13.80
XRAY,2001-09-19,9.18,13.84
XRAY,2001-09-20,11.95,13.30
XRAY,2001-09-21,33.48,12.28
XRAY,2001-09-24,13.41,12.57
XRAY,2001-09-25,10.89,12.58
XRAY,2001-09-26,7.40,12.97
XRAY,2001-09-27,15.54,13.66
XRAY,2001-09-28,30.43,14.07
XRAY,2001-10-01,9.78,13.98
XRAY,2001-10-02,7.46,13.96
XRAY,2001-10-03,14.06,14.20
XRAY,2001-10-04,7.36,14.11
XRAY,2001-10-05,12.11,13.86
XRAY,2001-10-08,8.30,13.64
XRAY,2001-10-09,10.73,13.46
XRAY,2001-10-10,3.76,13.63
XRAY,2001-10-11,14.32,13.78
XRAY,2001-10-12,3.91,13.67
XRAY,2001-10-15,10.24,13.64
XRAY,2001-10-16,8.62,14.00
XRAY,2001-10-17,6.77,13.60
XRAY,2001-10-18,9.32,13.72
XRAY,2001-10-19,8.36,13.77
XRAY,2001-10-22,9.46,13.74
XRAY,2001-10-23,24.23,14.19
XRAY,2001-10-24,6.80,13.90
XRAY,2001-10-25,10.09,13.88
XRAY,2001-10-26,8.30,14.00
XRAY,2001-10-29,10.33,13.90
XRAY,2001-10-30,11.71,13.60
XRAY,2001-10-31,6.04,13.78
XRAY,2001-11-01,18.26,14.00
XRAY,2001-11-02,6.86,13.89
XRAY,2001-11-05,11.78,13.97
XRAY,2001-11-06,15.84,14.05
XRAY,2001-11-07,3.91,13.90
XRAY,2001-11-08,18.92,13.41
XRAY,2001-11-09,11.29,13.57
XRAY,2001-11-12,7.33,13.51
XRAY,2001-11-13,4.50,13.49
XRAY,2001-11-14,3.33,13.37
XRAY,2001-11-15,3.85,13.40
XRAY,2001-11-16,10.51,13.23
XRAY,2001-11-19,12.35,13.37
XRAY,2001-11-20,6.78,13.70
XRAY,2001-11-21,9.76,13.71
XRAY,2001-11-23,2.55,13.78
XRAY,2001-11-26,9.21,14.00
XRAY,2001-11-27,8.89,14.05
XRAY,2001-11-28,12.41,13.98
XRAY,2001-11-29,13.00,14.24
XRAY,2001-11-30,13.29,14.26
XRAY,2001-12-03,8.15,14.36
XRAY,2001-12-04,15.16,14.50
XRAY,2001-12-05,15.47,14.79
XRAY,2001-12-06,8.65,14.74
XRAY,2001-12-07,5.66,14.59
XRAY,2001-12-10,5.00,14.46
XRAY,2001-12-11,6.38,14.46
XRAY,2001-12-12,5.20,14.32
XRAY,2001-12-13,11.82,14.44
XRAY,2001-12-14,10.52,14.39
XRAY,2001-12-17,8.46,14.45
XRAY,2001-12-18,17.74,14.67
XRAY,2001-12-19,41.87,15.19
XRAY,2001-12-20,9.37,15.04
XRAY,2001-12-21,21.05,15.30
XRAY,2001-12-24,8.51,15.09
XRAY,2001-12-26,11.52,15.02
XRAY,2001-12-27,9.63,15.14
XRAY,2001-12-28,37.62,15.56
XRAY,2001-12-31,17.61,15.40
XRAY,2002-01-02,16.90,15.33
XRAY,2002-01-03,26.01,15.36
XRAY,2002-01-04,17.42,15.37
XRAY,2002-01-07,19.57,15.40
XRAY,2002-01-08,17.39,15.39
XRAY,2002-01-09,17.63,15.43
XRAY,2002-01-10,18.43,15.54
XRAY,2002-01-11,10.46,15.55
XRAY,2002-01-14,14.05,15.50
XRAY,2002-01-15,11.17,15.61
XRAY,2002-01-16,24.52,15.68
XRAY,2002-01-17,14.14,15.68
XRAY,2002-01-18,12.20,15.63
XRAY,2002-01-22,22.27,15.49
XRAY,2002-01-23,13.77,15.48
XRAY,2002-01-24,19.73,15.37
XRAY,2002-01-25,11.75,15.54
XRAY,2002-01-28,9.66,15.52
XRAY,2002-01-29,15.46,15.29
XRAY,2002-01-30,15.49,15.20
XRAY,2002-01-31,26.45,15.17
XRAY,2002-02-01,11.07,15.38
XRAY,2002-02-04,8.12,15.13
XRAY,2002-02-05,14.85,15.19
XRAY,2002-02-06,13.26,15.14
XRAY,2002-02-07,17.72,15.23
XRAY,2002-02-08,8.31,15.20
XRAY,2002-02-11,7.85,15.04
XRAY,2002-02-12,14.55,15.01
XRAY,2002-02-13,12.15,15.40
XRAY,2002-02-14,8.73,15.37
XRAY,2002-02-15,8.92,15.28
XRAY,2002-02-19,11.16,15.03
XRAY,2002-02-20,6.72,15.52
XRAY,2002-02-21,8.57,15.55
XRAY,2002-02-22,6.39,15.65
XRAY,2002-02-25,6.73,15.65
XRAY,2002-02-26,9.56,15.60
XRAY,2002-02-27,10.60,15.65
XRAY,2002-02-28,9.62,15.26
XRAY,2002-03-01,10.84,15.31
XRAY,2002-03-04,14.05,15.65
XRAY,2002-03-05,17.73,15.64
XRAY,2002-03-06,14.74,15.55
XRAY,2002-03-07,7.11,15.42
XRAY,2002-03-08,8.83,15.48
XRAY,2002-03-11,6.42,15.41
XRAY,2002-03-12,11.93,15.35
XRAY,2002-03-13,20.71,15.49
XRAY,2002-03-14,13.80,15.66
XRAY,2002-03-15,14.52,15.66
XRAY,2002-03-18,17.69,16.11
XRAY,2002-03-19,18.57,16.20
XRAY,2002-03-20,11.12,16.05
XRAY,2002-03-21,10.57,16.27
XRAY,2002-03-22,14.29,16.41
XRAY,2002-03-25,7.37,16.24
XRAY,2002-03-26,15.59,16.91
XRAY,2002-03-27,13.88,17.16
XRAY,2002-03-28,12.06,17.07
XRAY,2002-04-01,7.12,16.86
XRAY,2002-04-02,8.15,16.76
XRAY,2002-04-03,8.91,16.58
XRAY,2002-04-04,8.31,16.95
XRAY,2002-04-05,13.28,16.90
XRAY,2002-04-08,12.81,17.61
XRAY,2002-04-09,14.01,17.85
XRAY,2002-04-10,13.37,18.04
XRAY,2002-04-11,12.07,18.16
XRAY,2002-04-12,10.54,18.30
