Date,Open,High,Low,Close,Adj Close,Volume
2015-10-07,257.190002,259.380005,256.000000,259.209991,251.371750,1912600
2015-10-08,258.690002,262.500000,258.410004,261.890015,253.970734,1840200
2015-10-09,262.510010,262.850006,261.209991,262.410004,254.474991,1919600
2015-10-12,262.700012,262.700012,261.529999,262.209991,254.281021,920400
2015-10-13,261.040009,263.230011,259.519989,259.690002,251.837250,1845200
2015-10-14,259.890015,260.820007,257.540009,257.809998,250.014084,1784800
2015-10-15,258.609985,260.929993,256.709991,260.820007,252.933121,2145200
2015-10-16,261.600006,261.619995,259.380005,260.790009,252.904037,850400
2015-10-19,259.799988,262.170013,259.709991,261.700012,253.786469,1473500
2015-10-20,261.200012,262.989990,260.959991,261.690002,253.776779,1117200
2015-10-21,262.369995,262.510010,258.540009,258.790009,250.964432,1750700
2015-10-22,259.989990,261.690002,259.079987,260.670013,252.787598,2969600
2015-10-23,262.429993,262.489990,260.119995,261.980011,254.058014,2302300
2015-10-26,261.640015,262.029999,260.359985,261.369995,253.466446,1994300
2015-10-27,260.359985,260.910004,257.829987,259.260010,251.420258,1082900
2015-10-28,259.940002,264.589996,259.299988,264.589996,256.589081,3288200
2015-10-29,263.619995,264.260010,262.359985,263.070007,255.115051,1981200
2015-10-30,263.010010,264.299988,262.540009,262.709991,254.765915,1835900
2015-11-02,262.980011,267.070007,262.799988,266.670013,258.606232,1076600
2015-11-03,266.320007,268.200012,265.709991,266.929993,258.858307,1639100
2015-11-04,267.950012,267.980011,265.790009,266.640015,258.577087,3471900
2015-11-05,266.679993,267.070007,264.649994,266.700012,258.635254,2234500
2015-11-06,266.049988,266.720001,264.160004,266.390015,258.334625,709600
2015-11-09,265.869995,266.059998,262.190002,264.140015,256.152710,1253900
2015-11-10,263.299988,265.459991,262.970001,265.459991,257.432739,1989900
2015-11-11,265.869995,266.010010,263.790009,263.869995,255.890823,787400
2015-11-12,262.140015,262.279999,258.209991,258.320007,250.508667,2525200
2015-11-13,257.720001,258.350006,255.440002,255.820007,248.084274,2961000
2015-11-16,256.029999,259.260010,255.539993,259.250000,251.410568,1300500
2015-11-17,259.470001,260.980011,257.929993,258.179993,250.372879,1027600
2015-11-18,259.029999,262.910004,258.700012,262.910004,254.959900,2973800
2015-11-19,262.690002,263.079987,261.709991,262.470001,254.533188,2368500
2015-11-20,263.220001,264.549988,262.869995,263.750000,255.774475,2135100
2015-11-23,263.459991,265.529999,263.380005,264.309998,256.317535,1652300
2015-11-24,263.160004,266.500000,262.440002,265.929993,257.888580,3716300
2015-11-25,266.049988,267.170013,265.519989,266.739990,258.674042,1861700
2015-11-27,267.079987,268.149994,265.779999,267.700012,259.605011,1181300
2015-11-30,268.510010,268.820007,266.000000,266.220001,258.169769,1977400
2015-12-01,267.420013,268.549988,266.750000,268.489990,260.371124,1410800
2015-12-02,268.299988,268.720001,265.049988,265.390015,257.364868,2489500
2015-12-03,266.190002,266.480011,259.859985,260.890015,253.000977,2246400
2015-12-04,261.179993,264.420013,260.899994,264.070007,256.084839,1329000
2015-12-07,263.540009,263.640015,260.179993,261.609985,253.699173,1532900
2015-12-08,259.260010,260.679993,258.100006,259.799988,251.943924,1078600
2015-12-09,258.760010,261.700012,255.860001,256.670013,248.908569,2489500
2015-12-10,256.510010,258.940002,256.079987,257.230011,249.451645,2641000
2015-12-11,254.649994,255.929993,252.639999,253.369995,245.708344,1622200
2015-12-14,253.059998,254.550003,250.100006,252.110001,244.486450,2359900
2015-12-15,253.600006,255.389999,253.350006,254.710007,247.007843,1332800
2015-12-16,256.070007,258.049988,254.289993,257.350006,249.567993,1676000
2015-12-17,258.149994,258.149994,254.199997,254.250000,246.561737,1111000
2015-12-18,252.429993,252.470001,249.720001,249.750000,243.157059,1669500
2015-12-21,251.169998,252.240005,249.759995,251.529999,244.890076,1750600
2015-12-22,252.360001,254.479996,250.860001,253.899994,247.197510,1005000
2015-12-23,255.369995,257.269989,254.770004,257.260010,250.468842,1249100
2015-12-24,257.299988,258.209991,256.350006,257.220001,250.429871,432000
2015-12-28,256.130005,257.010010,254.320007,256.899994,250.118332,1594900
2015-12-29,258.329987,259.500000,257.339996,258.959991,252.123932,1044900
2015-12-30,258.660004,259.079987,256.730011,256.730011,249.952820,1549700
2015-12-31,255.820007,257.320007,254.039993,254.039993,247.333786,2690700
2016-01-04,249.919998,250.820007,248.240005,250.820007,244.198822,5094700
2016-01-05,251.229996,251.789993,249.630005,250.899994,244.276703,3856800
2016-01-06,247.619995,249.179993,246.039993,247.360001,240.830154,5394000
2016-01-07,243.320007,244.970001,240.850006,241.039993,234.676987,6412600
2016-01-08,242.000000,242.830002,237.610001,237.820007,231.541992,4343100
2016-01-11,238.850006,239.529999,234.929993,237.100006,230.841019,4427700
2016-01-12,239.110001,239.770004,234.729996,238.080002,231.795135,5405800
2016-01-13,238.910004,239.470001,230.839996,231.660004,225.544632,6688000
2016-01-14,232.610001,235.949997,229.809998,234.399994,228.212280,3186900
2016-01-15,228.729996,231.470001,226.610001,231.029999,224.931244,5335200
2016-01-19,233.259995,233.309998,227.910004,229.759995,223.694763,2827400
2016-01-20,226.559998,230.690002,220.880005,228.270004,222.244125,6147500
2016-01-21,229.000000,232.169998,227.130005,228.619995,222.584869,4483400
2016-01-22,231.970001,234.550003,231.820007,234.339996,228.153854,2315600
2016-01-25,233.139999,233.490005,229.160004,229.479996,223.422165,1708500
2016-01-26,230.490005,234.710007,230.429993,234.619995,228.426483,1376200
2016-01-27,233.669998,236.149994,231.029999,232.250000,226.119049,1913700
2016-01-28,234.259995,234.759995,230.970001,232.339996,226.206665,1898200
2016-01-29,233.460007,240.000000,233.339996,239.970001,233.635254,4276000
2016-02-01,238.029999,240.770004,237.179993,239.610001,233.284760,2137600
2016-02-02,237.520004,237.520004,233.800003,234.509995,228.319366,2553800
2016-02-03,236.259995,236.720001,230.750000,236.139999,229.906357,3107800
2016-02-04,235.449997,239.589996,235.419998,237.889999,231.610153,2842500
2016-02-05,237.059998,237.070007,232.550003,232.830002,226.683716,1788900
2016-02-08,230.539993,230.649994,225.559998,228.850006,222.808792,2102800
2016-02-09,226.240005,230.080002,225.929993,228.220001,222.195419,2540400
2016-02-10,229.570007,232.610001,228.660004,228.759995,222.721161,2248000
2016-02-11,225.130005,226.990005,223.679993,225.580002,219.625122,2128800
2016-02-12,227.679993,230.110001,226.690002,229.740005,223.675308,2855300
2016-02-16,232.550003,234.970001,231.009995,234.669998,228.475143,1141700
2016-02-17,236.330002,239.300003,236.070007,238.360001,232.067734,1552300
