Ticker,Date,V,P,AV,R,DRSD,YR,Y,pr_0,pr_1,pr_2,Y_pred,Y_mom,Y_rev,Y_rand3,Y_rand2
CAT,2015-03-12,289.7600,72.6500,408.4705,-0.0386,0.0110,0.0301,1,0.2288,0.4268,0.3443,1,0,2,1,0
CB,2015-03-12,82.5300,93.5500,111.9100,0.0011,0.0090,0.0027,1,0.1949,0.3057,0.4993,2,1,1,1,0
CCI,2015-03-12,105.3600,77.0700,224.0460,-0.0141,0.0075,-0.0053,0,0.3550,0.2273,0.4177,2,1,1,0,0
CCL,2015-03-12,200.7800,42.5200,211.9160,0.0335,0.0154,0.0670,2,0.5256,0.1822,0.2921,0,2,0,0,0
CDNS,2015-03-12,17.2900,17.9500,44.8395,0.0193,0.0101,0.0613,2,0.4813,0.2451,0.2736,0,1,1,2,2
CELG,2015-03-12,366.7600,118.8200,582.3690,0.0037,0.0130,-0.0147,0,0.6719,0.2168,0.1113,0,1,1,0,0
CERN,2015-03-12,61.1800,70.9100,111.6985,0.0473,0.0142,0.0577,2,0.3500,0.4427,0.2073,1,2,0,2,0
CHD,2015-03-12,46.4000,40.8500,55.3005,0.0200,0.0081,0.0115,1,0.5381,0.1441,0.3178,0,1,1,1,2
CHK,2015-03-12,291.5500,13.8400,407.8255,-0.3059,0.0331,0.0723,2,0.4888,0.1556,0.3556,0,0,2,2,0
CHRW,2015-03-12,83.2500,69.6100,98.8215,0.0435,0.0099,-0.0259,0,0.2481,0.5369,0.2150,1,2,0,1,2
CI,2015-03-12,129.1100,122.6800,190.0020,0.0671,0.0110,0.0861,2,0.6105,0.3060,0.0835,0,2,0,1,2
CINF,2015-03-12,23.4600,48.8300,22.0195,0.0302,0.0082,0.0119,1,0.1992,0.5608,0.2400,1,2,0,2,0
CL,2015-03-12,168.3600,64.4600,183.3360,-0.0135,0.0096,0.0157,1,0.0973,0.3950,0.5076,2,1,1,0,0
CLX,2015-03-12,80.0500,101.7900,84.4370,0.0117,0.0081,0.0134,1,0.3607,0.1850,0.4542,2,1,1,0,2
CMA,2015-03-12,99.8900,44.8600,68.0260,0.0406,0.0144,-0.0274,0,0.1572,0.4403,0.4025,1,2,0,0,0
CMCSA,2015-03-12,712.9200,28.3200,791.9025,0.0268,0.0124,0.0127,1,0.5643,0.2472,0.1885,0,2,0,2,2
CMI,2015-03-12,216.6300,129.5700,264.4280,0.0422,0.0111,-0.0249,0,0.3485,0.4542,0.1973,1,2,0,1,0
CMS,2015-03-12,171.2900,31.0300,97.1275,-0.0508,0.0170,0.0319,2,0.3561,0.3726,0.2713,1,0,2,0,0
CNC,2015-03-12,64.7300,64.8900,64.1900,0.0897,0.0116,0.0814,2,0.2586,0.5624,0.1791,1,2,0,1,0
CNP,2015-03-12,73.9900,18.2800,96.3180,-0.0419,0.0133,0.0011,0,0.4217,0.2489,0.3294,0,0,2,0,2
COF,2015-03-12,371.6100,77.2700,229.1680,0.0533,0.0141,-0.0102,0,0.2895,0.4611,0.2495,1,2,0,1,0
COG,2015-03-12,138.0300,27.5000,173.7770,-0.0087,0.0215,0.1131,2,0.2461,0.1308,0.6231,2,1,1,0,2
COL,2015-03-12,50.4000,88.3800,72.4055,0.0443,0.0105,0.0726,2,0.3889,0.3943,0.2168,1,2,0,1,0
COO,2015-03-12,125.4500,184.8900,90.6670,0.1426,0.0218,0.0119,1,0.2550,0.6566,0.0884,1,2,0,0,2
COP,2015-03-12,338.7600,56.3100,466.4375,-0.0863,0.0127,0.0842,2,0.2558,0.3571,0.3871,2,0,2,0,2
COST,2015-03-12,233.7200,145.2900,296.7060,0.0134,0.0093,0.0013,0,0.2626,0.3679,0.3695,2,1,1,1,0
CPB,2015-03-12,40.9600,42.3100,87.2680,-0.0533,0.0105,0.0187,1,0.3201,0.3772,0.3027,1,0,2,2,2
CSCO,2015-03-12,648.9200,25.7300,934.1515,0.0485,0.0245,0.0004,0,0.5450,0.2591,0.1959,0,2,0,2,0
CSX,2015-03-12,188.3100,32.3500,240.4895,-0.0446,0.0114,-0.0127,0,0.2397,0.3365,0.4238,2,0,2,2,2
CTAS,2015-03-12,54.5200,79.9800,37.5000,0.0237,0.0102,-0.0065,0,0.4694,0.1770,0.3536,0,1,1,2,0
CTL,2015-03-12,140.9600,28.7100,189.1395,-0.1182,0.0143,0.0174,1,0.2873,0.2005,0.5121,2,0,2,0,0
CTSH,2015-03-12,127.5000,61.2500,218.5465,0.0468,0.0110,0.0186,1,0.1804,0.5031,0.3165,1,2,0,2,2
CTXS,2015-03-12,68.5300,48.5100,70.0380,-0.0483,0.0133,0.0519,2,0.3313,0.3378,0.3309,1,0,2,2,2
CVS,2015-03-12,384.2400,97.6000,403.3350,0.0036,0.0073,-0.0040,0,0.1964,0.2366,0.5670,2,1,1,2,0
CVX,2015-03-12,604.3400,91.9700,747.6450,-0.0598,0.0100,0.0439,2,0.3828,0.2589,0.3583,0,0,2,1,0
D,2015-03-12,212.4700,63.4800,244.5380,-0.0497,0.0113,0.0298,1,0.4076,0.3535,0.2388,0,0,2,1,2
DE,2015-03-12,206.4900,83.9400,272.1635,0.0154,0.0110,-0.0056,0,0.2646,0.2232,0.5122,2,1,1,1,0
DGX,2015-03-12,82.0500,68.6700,89.2085,0.0154,0.0087,0.0555,2,0.3211,0.4349,0.2441,1,1,1,2,0
DHI,2015-03-12,72.8600,25.8600,100.7755,-0.0092,0.0131,0.0758,2,0.2514,0.4753,0.2733,1,1,1,2,0
DHR,2015-03-12,199.6100,63.6300,207.8280,-0.0011,0.0083,-0.0052,0,0.3304,0.2800,0.3896,2,1,1,0,0
DIS,2015-03-12,1149.9700,103.5500,566.1830,0.0520,0.0132,-0.0020,0,0.4514,0.3501,0.1985,0,2,0,2,2
DISH,2015-03-12,64.9400,74.7300,112.6025,-0.0188,0.0130,-0.0388,0,0.4427,0.4017,0.1555,0,0,2,0,0
DLTR,2015-03-12,259.7100,80.8900,235.5655,0.0552,0.0099,0.0245,1,0.1225,0.5638,0.3137,1,2,0,0,0
DOV,2015-03-12,94.0700,67.7200,101.3930,0.0034,0.0122,-0.0351,0,0.3608,0.2708,0.3684,2,1,1,2,0
DRE,2015-03-12,45.8000,18.7600,47.5485,-0.0147,0.0146,-0.0059,0,0.3359,0.4083,0.2558,1,1,1,2,0
DRI,2015-03-12,87.1900,52.0000,64.3040,0.0446,0.0131,0.0915,2,0.2823,0.2485,0.4691,2,2,0,2,2
DTE,2015-03-12,125.9500,72.1800,107.6640,-0.0658,0.0148,0.0418,2,0.5054,0.2714,0.2232,0,0,2,1,2
DUK,2015-03-12,263.2800,67.5600,326.9175,-0.0803,0.0126,0.0340,2,0.1795,0.4102,0.4103,2,0,2,0,2
DVA,2015-03-12,86.3800,79.7000,147.4420,0.0494,0.0125,0.0276,1,0.5181,0.3817,0.1002,0,2,0,1,0
DVN,2015-03-12,190.2800,55.1400,246.0805,-0.1114,0.0186,0.1346,2,0.3800,0.1829,0.4371,2,0,2,1,0
EA,2015-03-12,159.1900,55.0600,155.0430,0.0020,0.0116,0.0598,2,0.5194,0.3876,0.0930,0,1,1,0,2
